movie id,title,watch count,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Toy Story ,451,0.0,0.0,0.0,3.8802660753880267,3.8802660753880267,3.8802660753880267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GoldenEye ,130,0.0,3.207692307692308,3.207692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.207692307692308,0.0,0.0
3,Four Rooms ,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0561797752808997,0.0,0.0
4,Get Shorty ,208,0.0,3.5576923076923075,0.0,0.0,0.0,3.5576923076923075,0.0,0.0,3.5576923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Copycat ,85,0.0,0.0,0.0,0.0,0.0,0.0,3.3058823529411763,0.0,3.3058823529411763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3058823529411763,0.0,0.0
6,Shanghai Triad ,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Twelve Monkeys ,391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8030690537084397,0.0,0.0,0.0,0.0,0.0,0.0,3.8030690537084397,0.0,0.0,0.0
8,Babe ,218,0.0,0.0,0.0,0.0,3.9999999999999973,3.9999999999999973,0.0,0.0,3.9999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Dead Man Walking ,298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.899328859060405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Richard III ,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.840909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.840909090909091,0.0
11,Seven ,235,0.0,0.0,0.0,0.0,0.0,0.0,3.842553191489362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.842553191489362,0.0,0.0
12,"Usual Suspects, The ",266,0.0,0.0,0.0,0.0,0.0,0.0,4.38345864661654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38345864661654,0.0,0.0
13,Mighty Aphrodite ,183,0.0,0.0,0.0,0.0,0.0,3.4262295081967213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Postino, Il ",182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9670329670329676,0.0,0.0,0.0,0.0,0.0,3.9670329670329676,0.0,0.0,0.0,0.0
15,Mr. Holland's Opus ,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7739726027397262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,French Twist ,38,0.0,0.0,0.0,0.0,0.0,3.210526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.210526315789474,0.0,0.0,0.0,0.0
17,From Dusk Till Dawn ,91,0.0,3.131868131868132,0.0,0.0,0.0,3.131868131868132,3.131868131868132,0.0,0.0,0.0,0.0,3.131868131868132,0.0,0.0,0.0,0.0,3.131868131868132,0.0,0.0
18,"White Balloon, The ",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Antonia's Line ,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9558823529411766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Angels and Insects ,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.436619718309859,0.0,0.0,0.0,0.0,0.0,3.436619718309859,0.0,0.0,0.0,0.0
21,Muppet Treasure Island ,83,0.0,2.7710843373493983,2.7710843373493983,0.0,0.0,2.7710843373493983,0.0,0.0,0.0,0.0,0.0,0.0,2.7710843373493983,0.0,0.0,0.0,2.7710843373493983,0.0,0.0
22,Braveheart ,296,0.0,4.152027027027029,0.0,0.0,0.0,0.0,0.0,0.0,4.152027027027029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.152027027027029,0.0
23,Taxi Driver ,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.127071823204419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.127071823204419,0.0,0.0
24,Rumble in the Bronx ,173,0.0,3.4508670520231215,3.4508670520231215,0.0,0.0,0.0,3.4508670520231215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Birdcage, The ",292,0.0,0.0,0.0,0.0,0.0,3.4452054794520546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Brothers McMullen, The ",72,0.0,0.0,0.0,0.0,0.0,3.4305555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Bad Boys ,56,0.0,3.107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Apollo 13 ,275,0.0,3.9345454545454546,0.0,0.0,0.0,0.0,0.0,0.0,3.9345454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9345454545454546,0.0,0.0
29,Batman Forever ,113,0.0,2.672566371681417,2.672566371681417,0.0,0.0,2.672566371681417,2.672566371681417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Belle de jour ,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Crimson Tide ,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.627450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.627450980392157,3.627450980392157,0.0
32,Crumb ,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Desperado ,96,0.0,3.4479166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4479166666666665,0.0,3.4479166666666665,0.0,0.0
34,"Doom Generation, The ",6,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Free Willy 2: The Adventure Home ,10,0.0,0.0,2.3,0.0,2.3,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Mad Love ,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000000000004,0.0,0.0,0.0,0.0,0.0,2.2500000000000004,0.0,0.0,0.0,0.0
37,Nadja ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
